Year,Calendar Day,Despatch Consumption Balance (Dcb) Or Internal Consumption Balance (Icb),Type Of Mode : Pithead Or Non-Pithead,Number Of Coal Plants,Capacity Of The Coal Plant(MegaWatt),Daily Requirement(Tonne),Domestic Stock (Tonne),Imported Stock (Tonne),Normative Stock (Tonne),Percentage Of Actual Stock Vis-A-Vis Normative Stock,Total Stock,Stock Surplus/Deficit,Days of Stock Available,Domestic Dependency,Import Dependency,Risk Category
2026,2026-01-12,ICB,Non-Pithead,17,18713.00,192.27,214.20,3069.10,4614.50,71%,3283.30,-1331.20,17.08,6.52%,93.48%,Moderate
2026,2026-01-11,DCB,Pithead,18,41640.00,582.55,7812.30,0.00,9320.80,83%,7812.30,-1508.50,13.41,100.00%,0.00%,Low Buffer
2026,2026-01-11,ICB,Non-Pithead,17,18713.00,192.27,215.20,3062.50,4614.50,71%,3277.70,-1336.80,17.05,6.57%,93.43%,Moderate
2026,2026-01-10,DCB,Pithead,18,41640.00,582.55,7792.10,0.00,9320.80,83%,7792.10,-1528.70,13.38,100.00%,0.00%,Low Buffer
2026,2026-01-10,ICB,Non-Pithead,17,18713.00,192.27,217.80,3048.80,4614.50,70%,3266.60,-1347.90,16.99,6.67%,93.33%,Moderate
2026,2026-01-09,DCB,Pithead,18,41640.00,582.55,7771.30,0.00,9320.80,83%,7771.30,-1549.50,13.34,100.00%,0.00%,Low Buffer
2026,2026-01-09,ICB,Non-Pithead,17,18713.00,192.27,214.50,3008.90,4614.50,69%,3223.40,-1391.10,16.76,6.65%,93.35%,Moderate
2026,2026-01-08,DCB,Pithead,18,41640.00,582.55,7749.90,0.00,9320.80,83%,7749.90,-1570.90,13.30,100.00%,0.00%,Low Buffer
2026,2026-01-08,ICB,Non-Pithead,17,18713.00,192.27,212.60,2965.80,4614.50,68%,3178.40,-1436.10,16.53,6.69%,93.31%,Moderate
2026,2026-01-06,DCB,Pithead,18,41640.00,582.55,7742.80,0.00,9320.80,83%,7742.80,-1578.00,13.29,100.00%,0.00%,Low Buffer
2026,2026-01-06,ICB,Non-Pithead,17,18713.00,192.27,204.60,2933.90,4614.50,68%,3138.50,-1476.00,16.32,6.52%,93.48%,Moderate
2025,2025-12-29,DCB,Pithead,18,41640.00,582.55,8075.50,0.00,8738.10,92%,8075.50,-662.60,13.86,100.00%,0.00%,Low Buffer
2025,2025-12-29,ICB,Non-Pithead,18,20033.00,207.67,446.50,3133.10,4776.60,74%,3579.60,-1197.00,17.24,12.47%,87.53%,Moderate
2025,2025-12-28,DCB,Pithead,18,41640.00,582.55,8117.30,0.00,8738.10,92%,8117.30,-620.80,13.93,100.00%,0.00%,Low Buffer
2025,2025-12-28,ICB,Non-Pithead,18,20033.00,207.67,451.50,3137.80,4776.60,75%,3589.30,-1187.30,17.28,12.58%,87.42%,Moderate
2025,2025-12-27,DCB,Pithead,18,41640.00,582.55,8146.00,0.00,8738.10,93%,8146.00,-592.10,13.98,100.00%,0.00%,Low Buffer
2025,2025-12-27,ICB,Non-Pithead,18,20033.00,207.67,444.00,3133.20,4776.60,74%,3577.20,-1199.40,17.23,12.41%,87.59%,Moderate
2025,2025-12-26,DCB,Pithead,18,41640.00,582.55,8178.10,0.00,8738.10,93%,8178.10,-560.00,14.04,100.00%,0.00%,Low Buffer
