Year,Calendar Day,Despatch Consumption Balance (Dcb) Or Internal Consumption Balance (Icb),Type Of Mode : Pithead Or Non-Pithead,"Number Of Coal Plants (UOM:Number), Scaling Factor:1","Capacity Of The Coal Plant (UOM:MW(MegaWatt)), Scaling Factor:1","Daily Requirement (UOM:t(Tonne)), Scaling Factor:1000","Domestic Stock (UOM:t(Tonne)), Scaling Factor:1000","Imported Stock  (UOM:t(Tonne)), Scaling Factor:1000","Normative Stock (UOM:t(Tonne)), Scaling Factor:1000","Percentage Of Actual Stock Vis-A-Vis Normative Stock  (UOM:%(Percentage)), Scaling Factor:1"
"Calendar Year (Jan - Dec), 2023",2023-03-22,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,2011.1500000000000000,4482.8500000000000000,0.45000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-21,DCB,Pithead,18,40320.000000000000,551.1000000000000000,8898.8500000000000000,6.5500000000000000,9655.3300000000000000,0.92000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-21,DCB,Non-Pithead,147,146860.500000000000,2057.2300000000000000,21254.140000000000,1969.7500000000000000,53404.500000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-21,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1943.8400000000000000,4482.8500000000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-20,DCB,Pithead,18,40320.000000000000,551.1000000000000000,8925.5100000000000000,8.2000000000000000,9655.3300000000000000,0.93000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-20,DCB,Non-Pithead,147,146860.500000000000,2057.2300000000000000,21129.750000000000,1966.0300000000000000,53404.500000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-20,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1954.6200000000000000,4482.8500000000000000,0.44000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-19,DCB,Pithead,18,40320.000000000000,551.1000000000000000,8882.5300000000000000,10.2100000000000000,9655.3300000000000000,0.92000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-19,DCB,Non-Pithead,147,146860.500000000000,2057.2300000000000000,20913.760000000000,1955.0900000000000000,53404.500000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-19,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1955.0300000000000000,4482.8500000000000000,0.44000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-18,DCB,Pithead,18,40320.000000000000,551.1000000000000000,8810.5500000000000000,8.1600000000000000,9655.3300000000000000,0.91000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-18,DCB,Non-Pithead,147,146860.500000000000,2057.2300000000000000,20679.070000000000,1901.8300000000000000,53404.500000000000,0.42000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-18,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1959.5200000000000000,4482.8500000000000000,0.44000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-17,DCB,Pithead,18,40320.000000000000,551.1000000000000000,8794.3100000000000000,6.3000000000000000,9655.3300000000000000,0.91000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-17,DCB,Non-Pithead,147,146860.500000000000,2057.2300000000000000,20660.490000000000,1872.5800000000000000,53404.500000000000,0.42000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-17,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1969.6200000000000000,4482.8500000000000000,0.44000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-16,DCB,Pithead,18,40320.000000000000,551.1000000000000000,8809.8800000000000000,8.2700000000000000,9655.3300000000000000,0.91000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-16,DCB,Non-Pithead,147,146860.500000000000,2057.2300000000000000,20587.390000000000,1844.0500000000000000,53404.500000000000,0.42000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-16,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1928.0000000000000000,4482.8500000000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-15,DCB,Pithead,18,40320.000000000000,551.1000000000000000,8836.5300000000000000,2.6300000000000000,9655.3300000000000000,0.92000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-15,DCB,Non-Pithead,147,146860.500000000000,2057.2300000000000000,20647.630000000000,1825.4400000000000000,53404.500000000000,0.42000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-15,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1852.0400000000000000,4482.8500000000000000,0.41000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-14,DCB,Pithead,18,40320.000000000000,551.1000000000000000,8848.9300000000000000,1.26000000000000000000,9655.3300000000000000,0.92000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-14,DCB,Non-Pithead,147,146860.500000000000,2057.2300000000000000,20728.840000000000,1823.6300000000000000,53404.500000000000,0.42000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-14,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1869.5900000000000000,4482.8500000000000000,0.42000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-13,DCB,Pithead,18,40320.000000000000,551.1000000000000000,8901.9700000000000000,1.24000000000000000000,9655.3300000000000000,0.92000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-13,DCB,Non-Pithead,147,146860.500000000000,2057.2300000000000000,20780.570000000000,1828.5200000000000000,53404.500000000000,0.42000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-13,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1885.8300000000000000,4482.8500000000000000,0.42000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-12,DCB,Pithead,18,40320.000000000000,551.1000000000000000,8920.1700000000000000,0.00000000000000000000,9655.3300000000000000,0.92000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-12,DCB,Non-Pithead,147,146860.500000000000,2057.2300000000000000,20873.770000000000,1800.5900000000000000,53404.500000000000,0.42000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-12,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1886.5900000000000000,4482.8500000000000000,0.42000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-11,DCB,Pithead,18,40320.000000000000,551.1000000000000000,8945.2600000000000000,0.00000000000000000000,9655.3300000000000000,0.93000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-11,DCB,Non-Pithead,147,146860.500000000000,2057.2300000000000000,20943.300000000000,1809.0700000000000000,53404.500000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-11,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1872.9800000000000000,4482.8500000000000000,0.42000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-10,DCB,Pithead,18,40320.000000000000,551.1000000000000000,8966.2700000000000000,0.00000000000000000000,9655.3300000000000000,0.93000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-10,DCB,Non-Pithead,147,146860.500000000000,2057.2300000000000000,21058.100000000000,1802.4300000000000000,53404.500000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-10,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1873.4300000000000000,4482.8500000000000000,0.42000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-09,DCB,Pithead,18,40320.000000000000,551.1000000000000000,8994.1200000000000000,0.00000000000000000000,9655.3300000000000000,0.93000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-09,DCB,Non-Pithead,147,146860.500000000000,2057.2300000000000000,21123.940000000000,1801.5000000000000000,53404.500000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-09,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1867.5900000000000000,4482.8500000000000000,0.42000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-08,DCB,Pithead,18,40320.000000000000,551.1000000000000000,9058.6600000000000000,1.83000000000000000000,9655.3300000000000000,0.94000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-08,DCB,Non-Pithead,147,146860.500000000000,2057.2300000000000000,21035.710000000000,1780.1900000000000000,53404.500000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-08,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1852.4800000000000000,4482.8500000000000000,0.41000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-07,DCB,Pithead,18,40320.000000000000,551.1000000000000000,9188.5300000000000000,1.83000000000000000000,9655.3300000000000000,0.95000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-07,DCB,Non-Pithead,147,146860.500000000000,2057.2300000000000000,21031.970000000000,1793.5900000000000000,53404.500000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-07,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1834.3200000000000000,4482.8500000000000000,0.41000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-06,DCB,Pithead,18,40320.000000000000,551.1000000000000000,9213.0400000000000000,0.00000000000000000000,9655.3300000000000000,0.95000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-06,DCB,Non-Pithead,147,146860.500000000000,2057.2300000000000000,20990.240000000000,1786.4200000000000000,53404.500000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-06,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1818.9800000000000000,4482.8500000000000000,0.41000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-05,DCB,Pithead,18,40320.000000000000,551.1000000000000000,9227.3400000000000000,0.00000000000000000000,9655.3300000000000000,0.96000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-05,DCB,Non-Pithead,147,146860.500000000000,2057.2300000000000000,21101.380000000000,1759.9900000000000000,53404.500000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-05,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1802.8700000000000000,4482.8500000000000000,0.40000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-04,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8531.8000000000000000,0.00000000000000000000,8827.5000000000000000,0.97000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-04,DCB,Non-Pithead,149,149120.500000000000,2089.0700000000000000,21722.170000000000,1748.7200000000000000,54232.340000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-04,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1808.1500000000000000,4482.8500000000000000,0.40000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-03,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8572.5000000000000000,0.00000000000000000000,8827.5000000000000000,0.97000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-03,DCB,Non-Pithead,149,149120.500000000000,2089.0700000000000000,21762.770000000000,1738.2300000000000000,54232.340000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-03,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1822.0500000000000000,4482.8500000000000000,0.41000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-02,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8538.8000000000000000,0.00000000000000000000,8827.5000000000000000,0.97000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-02,DCB,Non-Pithead,149,149120.500000000000,2089.0700000000000000,21781.070000000000,1706.2800000000000000,54232.340000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-02,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1851.3400000000000000,4482.8500000000000000,0.41000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-01,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8555.3300000000000000,2.4800000000000000,8827.5000000000000000,0.97000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-01,DCB,Non-Pithead,149,149120.500000000000,2089.0700000000000000,21760.140000000000,1706.9200000000000000,54232.340000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-03-01,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1871.8200000000000000,4482.8500000000000000,0.42000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-28,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8518.7100000000000000,1.41000000000000000000,8827.5000000000000000,0.97000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-28,DCB,Non-Pithead,148,148460.500000000000,2080.0500000000000000,21594.860000000000,1706.7800000000000000,53997.800000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-28,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1833.7300000000000000,4482.8500000000000000,0.41000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-27,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8548.9700000000000000,1.46000000000000000000,8827.5000000000000000,0.97000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-27,DCB,Non-Pithead,148,148460.500000000000,2080.0500000000000000,21415.800000000000,1722.1900000000000000,53997.800000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-27,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1832.4900000000000000,4482.8500000000000000,0.41000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-26,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8534.9500000000000000,1.46000000000000000000,8827.5000000000000000,0.97000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-26,DCB,Non-Pithead,148,148460.500000000000,2080.0500000000000000,21401.210000000000,1732.4800000000000000,53997.800000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-26,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1834.4200000000000000,4482.8500000000000000,0.41000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-25,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8512.3100000000000000,2.9500000000000000,8827.5000000000000000,0.96000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-25,DCB,Non-Pithead,148,148460.500000000000,2080.0500000000000000,21331.240000000000,1757.2300000000000000,53997.800000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-25,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1821.4600000000000000,4482.8500000000000000,0.41000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-24,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8519.3900000000000000,4.2200000000000000,8827.5000000000000000,0.97000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-24,DCB,Non-Pithead,148,148460.500000000000,2080.0500000000000000,21227.790000000000,1782.6000000000000000,53997.800000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-24,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1826.7000000000000000,4482.8500000000000000,0.41000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-23,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8542.4300000000000000,9.5300000000000000,8827.5000000000000000,0.97000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-23,DCB,Non-Pithead,148,148460.500000000000,2080.0500000000000000,21207.430000000000,1816.7000000000000000,53997.800000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-23,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1822.6000000000000000,4482.8500000000000000,0.41000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-22,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8551.3800000000000000,9.4200000000000000,8827.5000000000000000,0.97000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-22,DCB,Non-Pithead,148,148460.500000000000,2080.0500000000000000,21294.200000000000,1839.9900000000000000,53997.800000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-22,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1817.1900000000000000,4482.8500000000000000,0.41000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-21,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8602.6100000000000000,7.5400000000000000,8827.5000000000000000,0.98000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-21,DCB,Non-Pithead,148,148460.500000000000,2080.0500000000000000,21263.450000000000,1828.1800000000000000,53997.800000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-21,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1826.2500000000000000,4482.8500000000000000,0.41000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-20,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8642.0300000000000000,8.1600000000000000,8827.5000000000000000,0.98000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-20,DCB,Non-Pithead,148,148460.500000000000,2080.0500000000000000,21172.890000000000,1840.7900000000000000,53997.800000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-20,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1818.4200000000000000,4482.8500000000000000,0.41000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-19,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8629.2800000000000000,9.5600000000000000,8827.5000000000000000,0.98000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-19,DCB,Non-Pithead,148,148460.500000000000,2080.0500000000000000,21030.220000000000,1842.9900000000000000,53997.800000000000,0.42000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-19,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1824.5400000000000000,4482.8500000000000000,0.41000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-18,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8599.6800000000000000,11.0600000000000000,8827.5000000000000000,0.98000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-18,DCB,Non-Pithead,148,148460.500000000000,2080.0500000000000000,21018.980000000000,1845.1700000000000000,53997.800000000000,0.42000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-18,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1826.9500000000000000,4482.8500000000000000,0.41000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-17,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8589.9800000000000000,15.9300000000000000,8827.5000000000000000,0.97000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-17,DCB,Non-Pithead,148,148460.500000000000,2080.0500000000000000,21035.220000000000,1785.4600000000000000,53997.800000000000,0.42000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-17,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1830.2900000000000000,4482.8500000000000000,0.41000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-16,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8602.6500000000000000,15.5900000000000000,8827.5000000000000000,0.98000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-16,DCB,Non-Pithead,148,148460.500000000000,2080.0500000000000000,21106.620000000000,1795.0000000000000000,53997.800000000000,0.42000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-16,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1843.2500000000000000,4482.8500000000000000,0.41000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-15,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8594.8000000000000000,12.7800000000000000,8827.5000000000000000,0.98000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-15,DCB,Non-Pithead,148,148460.500000000000,2080.0500000000000000,21129.340000000000,1770.5700000000000000,53997.800000000000,0.42000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-15,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1860.9600000000000000,4482.8500000000000000,0.42000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-14,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8582.1300000000000000,14.5800000000000000,8827.5000000000000000,0.97000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-14,DCB,Non-Pithead,148,148460.500000000000,2080.0500000000000000,21164.000000000000,1727.0000000000000000,53997.800000000000,0.42000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-14,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1867.5800000000000000,4482.8500000000000000,0.42000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-13,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8603.0400000000000000,18.1900000000000000,8827.5000000000000000,0.98000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-13,DCB,Non-Pithead,148,148460.500000000000,2080.0500000000000000,21215.470000000000,1695.8100000000000000,53997.800000000000,0.42000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-13,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1814.6100000000000000,4482.8500000000000000,0.40000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-12,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8551.8400000000000000,19.1800000000000000,8827.5000000000000000,0.97000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-12,DCB,Non-Pithead,148,148460.500000000000,2080.0500000000000000,21177.150000000000,1718.1300000000000000,53997.800000000000,0.42000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-12,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1819.3200000000000000,4482.8500000000000000,0.41000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-11,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8486.9600000000000000,19.7500000000000000,8827.5000000000000000,0.96000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-11,DCB,Non-Pithead,148,148460.500000000000,2080.0500000000000000,21138.960000000000,1762.0700000000000000,53997.800000000000,0.42000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-11,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1827.0200000000000000,4482.8500000000000000,0.41000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-10,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8492.1900000000000000,15.1200000000000000,8827.5000000000000000,0.96000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-10,DCB,Non-Pithead,148,148460.500000000000,2080.0500000000000000,21218.200000000000,1794.1800000000000000,53997.800000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-10,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1803.0300000000000000,4482.8500000000000000,0.40000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-09,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8485.9400000000000000,17.4500000000000000,8827.5000000000000000,0.96000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-09,DCB,Non-Pithead,148,148460.500000000000,2080.0500000000000000,21304.710000000000,1785.1900000000000000,53997.800000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-09,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1770.5300000000000000,4482.8500000000000000,0.39000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-08,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8499.8100000000000000,17.9000000000000000,8827.5000000000000000,0.96000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-08,DCB,Non-Pithead,148,148460.500000000000,2080.0500000000000000,21349.260000000000,1796.6000000000000000,53997.800000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-08,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1740.3300000000000000,4482.8500000000000000,0.39000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-07,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8502.0500000000000000,14.3600000000000000,8827.5000000000000000,0.96000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-07,DCB,Non-Pithead,148,148460.500000000000,2080.0500000000000000,21370.880000000000,1777.0300000000000000,53997.800000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-07,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1712.8700000000000000,4482.8500000000000000,0.38000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-06,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8528.4000000000000000,14.5300000000000000,8827.5000000000000000,0.97000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-06,DCB,Non-Pithead,148,148460.500000000000,2080.0500000000000000,21290.910000000000,1803.2400000000000000,53997.800000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-06,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1720.1100000000000000,4482.8500000000000000,0.38000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-05,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8530.1000000000000000,16.2700000000000000,8827.5000000000000000,0.97000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-05,DCB,Non-Pithead,148,148460.500000000000,2080.0500000000000000,21319.140000000000,1831.6800000000000000,53997.800000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-05,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1730.5600000000000000,4482.8500000000000000,0.39000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-04,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8489.6600000000000000,16.2400000000000000,8827.5000000000000000,0.96000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-04,DCB,Non-Pithead,148,148460.500000000000,2080.0500000000000000,21293.710000000000,1827.5900000000000000,53997.800000000000,0.43000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-04,ICB,Non-Pithead,15,17255.0000000000000000,172.4200000000000000,0.00000000000000000000,1725.1500000000000000,4482.8500000000000000,0.38000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-03,DCB,Pithead,16,38060.000000000000,519.2600000000000000,8457.6400000000000000,13.9900000000000000,8827.5000000000000000,0.96000000000000000000
"Calendar Year (Jan - Dec), 2023",2023-02-03,DCB,Non-Pithead,148,148460.500000000000,2080.0500000000000000,21336.830000000000,1801.2200000000000000,53997.800000000000,0.43000000000000000000
