Year,Calendar Day,Despatch Consumption Balance (Dcb) Or Internal Consumption Balance (Icb),Type Of Mode : Pithead Or Non-Pithead,"Number Of Coal Plants (UOM:Number), Scaling Factor:1","Capacity Of The Coal Plant (UOM:MW(MegaWatt)), Scaling Factor:1","Daily Requirement (UOM:t(Tonne)), Scaling Factor:1000","Domestic Stock (UOM:t(Tonne)), Scaling Factor:1000","Imported Stock  (UOM:t(Tonne)), Scaling Factor:1000","Normative Stock (UOM:t(Tonne)), Scaling Factor:1000","Percentage Of Actual Stock Vis-A-Vis Normative Stock  (UOM:%(Percentage)), Scaling Factor:1"
"Calendar Year (Jan - Dec), 2025",2025-10-25,ICB,Non-Pithead,17,18669.0,191.89,204.4,3081.2,4029.7,81
"Calendar Year (Jan - Dec), 2025",2025-10-24,DCB,Pithead,18,41640.0,582.55,7019.0,0.0,7573.1,92
"Calendar Year (Jan - Dec), 2025",2025-10-24,ICB,Non-Pithead,17,18669.0,191.89,204.4,3070.5,4029.7,81
"Calendar Year (Jan - Dec), 2025",2025-10-23,DCB,Pithead,18,41640.0,582.55,7051.7,0.0,7573.1,93
"Calendar Year (Jan - Dec), 2025",2025-10-23,ICB,Non-Pithead,17,18669.0,191.89,204.4,3046.6,4029.7,80
"Calendar Year (Jan - Dec), 2025",2025-10-22,DCB,Pithead,18,41640.0,582.55,7094.2,0.0,7573.1,93
"Calendar Year (Jan - Dec), 2025",2025-10-22,ICB,Non-Pithead,17,18669.0,191.89,204.4,3017.6,4029.7,79
"Calendar Year (Jan - Dec), 2025",2025-10-21,DCB,Pithead,18,41640.0,582.55,7070.5,0.0,7573.1,93
"Calendar Year (Jan - Dec), 2025",2025-10-21,ICB,Non-Pithead,17,18669.0,191.89,204.4,3000.2,4029.7,79
"Calendar Year (Jan - Dec), 2025",2025-10-20,DCB,Pithead,18,41640.0,582.55,7057.3,0.0,7573.1,93
"Calendar Year (Jan - Dec), 2025",2025-10-20,ICB,Non-Pithead,17,18669.0,191.89,207.4,2970.7,4029.7,78
"Calendar Year (Jan - Dec), 2025",2025-10-19,DCB,Pithead,18,41640.0,582.55,7046.4,0.0,7573.1,93
"Calendar Year (Jan - Dec), 2025",2025-10-19,ICB,Non-Pithead,17,18669.0,191.89,207.4,2955.7,4029.7,78
"Calendar Year (Jan - Dec), 2025",2025-10-18,DCB,Pithead,18,41640.0,582.55,6998.7,0.0,7573.1,92
"Calendar Year (Jan - Dec), 2025",2025-10-18,ICB,Non-Pithead,17,18669.0,191.89,207.4,2938.5,4029.7,78
"Calendar Year (Jan - Dec), 2025",2025-10-17,DCB,Pithead,18,41640.0,582.55,7006.2,0.0,7573.1,92
